Name       Country    Score      Kills      Contacts   Alive      Infected   Dead       Gel        Masks      Vaccines  
Umpa       moon       7742       116        46         0          733000     267000     265        14         6         
fede       usa        2994       170        268        0          197576400  130623600  398        23         9         
suca       saturn     2876       134        168        0          694000     306000     305        17         7         
BEST-BOY   usa        2668       128        174        0          228755400  99444600   305        18         7         
Alien-2312 moon       2663       80         65         99708      714192     186100     183        11         4         
abc        uk         1931       112        181        0          48787800   17862200   265        14         6         
marco      italy      825        68         158        0          5027988    1008012    160        9          4         
BEST       usa        810        47         82         0          289472400  38727600   120        7          2         
adad       italy      720        7          2          4999364    903844     132792     22         1          1         
OPLA       uk         652        42         86         45659      58872941   7731400    114        6          2         
dasdas     italy      578        32         43         0          5667804    368196     65         3          2         
dasdas     uk         366        26         47         0          61851200   4798800    55         2          2         
Marifi     italy      349        22         28         99567      5544093    392340     35         3          1         
MARIO      italy      304        7          4          4994939    932413     108648     16         0          1         
LUIFI      italy      302        18         33         99776      5592172    344052     45         3          1         
dasda      italy      270        26         61         0          5661165    374835     55         2          1         
fff        italy      156        12         24         0          5758344    277656     25         1          1         
aduhbwfguh moon       151        15         54         0          947000     53000      45         2          1         
dasdasd    moon       100        10         22         0          959000     41000      16         1          1         
fede       spain      80         7          19         0          45344040   1595960    15         1          1         
cheese     italy      67         7          23         969        58125711   2233320    15         1          1         
linguini   italy      56         9          40         0          58005960   2354040    20         0          1         
pablo      spain      45         6          16         0          45390980   1549020    6          1          1         
ale        usa        40         13         138        0          305554200  22645800   34         3          0         
adasdasd   italy      39         5          19         9997631    48732649   1629720    10         0          1         
MARIO      italy      37         10         44         0          5794560    241440     10         1          1         
lalala     uk         33         4          22         0          64650500   1999500    10         1          1         
atust      italy      20         4          19         0          5860956    175044     5          0          1         
Alien-1212 saturn     11         4          21         0          971000     29000      5          0          0         
LUIGI      italy      0          0          5          4994169    999579     42252      0          0          0         
fe         italy      0          0          1          6036000    0          0          0          0          0         
pablo      spain      0          0          14         0          45860380   1079620    0          0          0         
ggre       spain      0          0          14         0          45813440   1126560    0          0          0         
pablo      spain      0          0          12         0          45907320   1032680    0          0          0         
dawda      uk         0          0          14         0          65183700   1466300    0          0          0         
ii         usa        0          0          13         0          320651400  7548600    0          0          0         
dasdsa     usa        0          0          12         0          320979600  7220400    0          0          0         
dadsa      italy      0          0          13         0          5897172    138828     0          0          0         
dadad      usa        0          0          13         0          320651400  7548600    0          0          0         
dsadsa     usa        0          0          14         0          320979600  7220400    0          0          0         
